# Gboard Dictionary version:2
# Gboard Dictionary format:shortcut	word	language_tag	pos_tag
dhS	điếu		
jgZ	giêng		
f74	phẫn		
lUf	lều		
xcA	xua		
q20	quăng		
ncf	nà		
zne	úp		
ClF	chòi		
tB7	toát		
b0z	băm		
sEz	sê		
h9s	hất		
dKx	đãng		
zlS	ói		
Dhu	duẩn		
dDx	đẫm		
tJ0	teo		
lki	lùm		
cts	cáu		
gvz	gu		
C4s	chắt		
bRu	bửu		
hWF	hoằng		
jKf	giàng		
mKZ	min		
ycj	nhạ		
xro	xuồng		
th7	tiếu		
mfe	mướn		
f46	pho		
DGy	duệ		
jxj	giặc		
lfa	lươn		
clX	cõi		
To0	then		
N4S	ngó		
tu3	tỉa		
sza	sưa		
NXJ	ngoặt		
tl8	tòi		
gSj	gạc		
gpf	gào		
fg1	phách		
WPj	nghẹt		
zCF	oà		
kxy	kỵ		
C2S	chớp		
TU0	thêu		
rqs	rát		
Cqs	chát		
Rd0	trơ		
nzF	nòng		
gyJ	gọt		
bgS	biếng		
fG0	phai		
haj	hệt		
hKa	hun		
bCj	bịch		
hge	húc		
ctF	cồng		
vcj	vạ		
dlf	điềm		
zuz	ia		
RE5	trệ		
m7r	mẩn		
r0Z	rô		
vkx	vãn		
Dis	dí		
zdz	ơ		
Npz	ngao		
RK3	trảng		
zVs	ếch		
nqj	nạt		
gKf	gàng		
R46	tro		
yCs	nhích		
rvz	ru		
fe0	phe		
mge	múc		
spu	sưởi		
hkx	hãn		
rtX	rỗng		
dBj	đậy		
tk3	tản		
TxA	thy		
D0j	dặm		
xlE	xuyến		
x86	xoang		
cpj	cạo		
ynS	nhóc		
nir	nỉ		
cWy	cược		
Nhr	ngổn		
vQF	vòm		
sKr	sảng		
hla	huyên		
C2f	chằng		
q1Y	quyện		
rWx	rãnh		
bKZ	bin		
DdZ	diên		
cKz	cang		
rhs	rốn		
gTs	gáy		
RyC	trọt		
KmZ	khinh		
vdz	vơ		
lUa	lư		
kgR	kiểng		
sCa	suôn		
rty	rượt		
txY	tỵ		
bSZ	bon		
xj7	xiết		
fm8	phình		
mDJ	mịt		
CWe	chước		
N4J	ngọ		
sir	sỉ		
r0f	rằm		
czF	còng		
te3	tẻ		
Css	chướng		
xko	xùm		
Dlz	diêm		
xh5	xộn		
Ngs	ngách		
nDj	nậm		
c0f	cằm		
td1	tớ		
xK9	xỉn		
rSZ	ron		
yDj	nhậm		
NxF	ngời		
g2z	găng		
dNj	đực		
qB5	quậy		
m5s	mấu		
tD7	tít		
z0e	yếm		
l2J	lợp		
NsX	ngoãn		
sdx	sỡ		
T49	thỏ		
yve	nhúng		
WdF	nghiền		
Nkz	ngan		
DSZ	don		
CGf	chài		
tn0	tưng		
bgy	bục		
DkF	dìu		
yzz	nhôm		
r0F	rồ		
h4s	hắt		
yir	nhỉ		
Wes	nghé		
hdf	hờ		
hEx	hễ		
Dze	dứa		
tx6	tơi		
RqB	trỗi		
mtF	mồng		
KTz	khay		
Dky	dụm		
kof	kèn		
bmR	bỉnh		
riz	ri		
vzy	vựa		
tsY	tuột		
sKy	sụn		
xE5	xệ		
sxj	sặc		
mJj	mẹo		
TE5	thệ		
s4F	sò		
RvW	trũng		
K8e	khuấy		
sps	sáo		
qP5	quẹt		
htR	hổng		
nva	nung		
NlS	ngói		
C3s	chắp		
hWx	hãnh		
svi	sùng		
mgs	mách		
rjS	riết		
Rd8	triền		
Nju	ngủi		
lkZ	liu		
xD7	xít		
mty	mượt		
DRJ	dột		
qi1	quí		
Nps	ngáo		
c2r	cẳng		
Nvi	ngùng		
hxs	hắc		
mds	mớ		
K2z	khăng		
lcx	lã		
sxR	sởi		
lQz	lim		
KQS	khóm		
dzZ	đong		
CWr	chảnh		
bEj	bệ		
sRu	sửu		
xv2	xù		
KPs	khét		
h1f	hằn		
rGz	rai		
Czz	chôm		
n6s	nấc		
mef	mè		
vnj	vựng		
vGx	vãi		
D5j	dậu		
gtF	gồng		
D0z	dăm		
DGx	dãi		
Nms	ngút		
Nvz	ngu		
gsj	gượng		
bBj	bậy		
vse	vuốt		
zqR	ổi		
hjj	hạm		
Ngy	ngục		
Ra5	trệt		
zsS	oán		
c1j	cặn		
roz	ren		
D7s	dấn		
v4F	vò		
yDz	nhâm		
DBs	dấy		
g3s	gắp		
v1j	vặn		
rUz	rêu		
tkE	túm		
gxR	gởi		
rJz	reo		
bGz	bai		
TE0	thê		
rdz	rơ		
Cjf	chàm		
sgy	sục		
dkr	đản		
czX	cõng		
vzw	vữa		
ngs	nách		
y1f	nhằn		
bxF	bời		
rWf	rành		
hfS	hốc		
lms	lút		
vBf	vầy		
cTS	cốp		
T03	thẳm		
rvi	rùng		
Cpz	chao		
TP1	thét		
fo0	phen		
khJ	kiệu		
DxZ	dơi		
cDe	cuốc		
lBf	lầy		
yjz	nham		
v3J	vợt		
sks	sán		
mje	múi		
kos	kén		
bnz	bưng		
Tn2	thừng		
hrZ	hoai		
vxZ	vơi		
RB2	trầy		
vTr	vảy		
Nkj	ngạn		
scs	sá		
lHz	lem		
mYz	mênh		
tro	tuồng		
j2z	giăng		
gpS	gớm		
jDs	giấm		
rKs	ráng		
DQR	dỏm		
dvi	đùng		
Tk1	thán		
cRi	cừu		
t11	tắn		
yTy	nhựt		
m5r	mẩu		
mzf	mồm		
hvx	hũ		
sji	sùi		
ft6	phông		
h1F	hờn		
yhi	nhuần		
rmF	rình		
tc4	tã		
zRS	ốt		
dPF	đoòng		
qG0	quai		
spr	sảo		
vSZ	von		
tW0	tanh		
luf	lìa		
KHa	khuynh		
vvy	vụng		
Tr6	thoai		
bhj	bộn		
rEz	rê		
bQr	bỉm		
dex	đẽ		
TK8	thìn		
mSZ	mon		
yoj	nhẹn		
yrj	nhện		
n1s	nắn		
lbj	lượm		
lJr	lẻo		
vaj	vệt		
btf	bàu		
Nli	nguyền		
NlF	ngòi		
DDx	dẫm		
mte	mướt		
sjj	sạm		
dhj	độn		
jex	giẽ		
r5f	rầu		
rDe	ruốc		
Rn7	tróc		
h8x	hẫng		
ysx	nhưỡng		
Nma	nguôi		
t73	tẩn		
CKz	chang		
dzs	đốm		
gyj	gập		
CKR	chỉn		
xKC	xịn		
xL7	xoắn		
nQZ	nom		
SSj	sạc		
tT2	tày		
y1F	nhờn		
KLS	khoắn		
buj	bịa		
v8z	vâng		
NyS	ngót		
dms	đút		
mdS	miến		
tM1	tép		
kYf	kềnh		
zlZ	oi		
NNu	ngửi		
zqs	át		
bxa	by		
jdr	giở		
CqJ	chội		
nqZ	nôi		
C7f	chần		
Rc1	trá		
dcS	điếc		
q25	quặng		
Der	dẻ		
C1Z	chơn		
jBf	giầy		
bse	buốt		
hjy	hụi		
dqX	đỗi		
y8S	nhoáng		
lKi	lùn		
lDx	lẫm		
vqj	vạt		
sTr	sảy		
hSj	hạc		
czj	cộm		
r1J	rợn		
lYz	lênh		
g0z	găm		
f37	phớt		
TKA	thun		
Tl9	thỏi		
j4Z	gio		
b5i	buồm		
scr	sả		
cNS	cóp		
N2J	ngợp		
cfj	cạp		
zxu	ỷ		
y3S	nhớt		
hQF	hòm		
h0z	hăm		
lQX	lõm		
bdx	bỡ		
hqR	hổi		
rDj	rậm		
lps	láo		
vSR	vỏn		
htf	hàu		
Tn7	thóc		
bMj	bẹp		
T37	thớt		
hxJ	hợi		
Rd1	trớ		
rDz	râm		
xl0	xiêm		
c1f	cằn		
glR	gỏi		
hki	hùm		
ClS	chói		
xl7	xói		
slS	sói		
rhz	rôn		
yJz	nheo		
Wuz	nghia		
bys	bấp		
KEs	khế		
skZ	siu		
n1j	nặn		
lNs	lức		
dQS	đóm		
c0z	căm		
zlu	uyển		
CtZ	chông		
cDz	câm		
lYa	lăk		
vnf	vừng		
qK2	quàng		
nne	núp		
dCS	đoá		
hJs	héo		
z3s	ắp		
lRS	lốt		
vds	vớ		
yms	nhút		
yqS	nhối		
RJ3	trẻo		
ThE	thuấn		
Tz6	thong		
zix	ĩ		
hzF	hòng		
vos	vén		
nzZ	nong		
tRC	tột		
RnC	trọc		
ySs	nhác		
bdj	bợ		
b7f	bần		
jiz	gi		
R1C	trợn		
hSZ	hon		
hxR	hởi		
bci	bùa		
bBr	bẩy		
v7f	vần		
gTJ	gộp		
hxF	hời		
DqX	dỗi		
yGy	nhuệ		
Nsj	ngượng		
vmj	vụt		
bDS	bít		
ydx	nhỡ		
yps	nháo		
s0J	sộ		
mCs	mích		
Doz	den		
lQj	lịm		
l0z	lăm		
rve	rúng		
Wef	nghè		
zif	ì		
nKS	nín		
fvA	phung		
tp2	tào		
lre	luống		
snx	sững		
tE4	tễ		
CqR	chổi		
dQZ	đom		
ncs	ná		
D2r	dẳng		
b0Z	bô		
NfS	ngốc		
bBf	bầy		
TQ9	thỏm		
lgj	lạch		
hof	hèn		
jir	gỉ		
yys	nhấp		
lBj	lậy		
vYz	vênh		
KJS	khoét		
jki	giùm		
mpf	mào		
cms	cút		
mlZ	moi		
tCo	tuồn		
t1C	tợn		
N7r	ngẩn		
mij	mị		
Dvx	dũ		
mpx	mão		
hez	he		
Tm6	thinh		
R52	trầu		
yQX	nhõm		
R08	trồ		
jtF	giồng		
scu	sủa		
f91	phất		
C5f	chầu		
rbf	rườm		
cze	cứa		
nkZ	niu		
CUi	chừ		
NRa	ngưu		
sJz	seo		
yvx	nhũ		
ndx	nỡ		
jzS	gióng		
m4S	mó		
vKZ	vin		
fh2	phồn		
slw	suyễn		
mkZ	miu		
zjr	ảm		
cpw	cưỡi		
te2	tè		
C8F	choàng		
bhr	bổn		
dcj	đạ		
hQy	huyệt		
Dji	dùi		
Rp1	tráo		
vKx	vãng		
vus	vía		
zqS	ối		
y6s	nhấc		
t02	tằm		
lMs	lép		
bQz	bim		
CWj	chạnh		
zTS	ốp		
nJr	nẻo		
b0j	bặm		
bbs	bướm		
ndz	nơ		
N3S	ngớt		
xD3	xẩm		
RkB	trĩu		
saj	sệt		
hxu	hỷ		
gpz	gao		
yBf	nhầy		
tcA	tua		
gcj	gạ		
xjA	xui		
xo1	xén		
nzz	nôm		
mEx	mễ		
CgZ	chiêng		
n5j	nậu		
vDS	vít		
cTj	cạy		
bWf	bành		
RS1	trác		
Dsj	dượng		
NpJ	ngợm		
NBj	ngậy		
xb8	xoè		
s7f	sần		
TG7	thiếp		
fQ1	phím		
yPj	nhẹt		
h1S	hớn		
npz	nao		
dFs	đéc		
y4J	nhọ		
snr	sửng		
Gej	ghẹ		
lzS	lóng		
d8s	đấng		
nXj	nệm		
jxF	giời		
Rs1	trướng		
vJj	vẹo		
tJ2	tèo		
xd3	xở		
Wos	nghén		
D4j	dặt		
mix	mĩ		
WmX	nghĩnh		
zJs	éo		
blS	bói		
rtZ	rông		
hMS	hoóc		
CDS	chít		
hmR	hỉnh		
h3S	hớt		
TJ5	thẹo		
y0Z	nhô		
zGr	ải		
sGr	sải		
ftC	phộng		
KDS	khít		
pu0	pia		
l2r	lẳng		
lcr	lả		
jGx	giãi		
bcu	bủa		
CgF	chiềng		
hQS	hóm		
Cji	chùi		
dki	đùm		
Tl6	thoi		
hrs	hến		
mzu	mửa		
WUz	nghêu		
ClZ	choi		
bfa	bươn		
zQZ	om		
mms	mút		
dtR	đổng		
d1F	đờn		
llR	lỏi		
hRJ	hột		
yTs	nháy		
lJf	lèo		
Kdz	khơ		
koz	ken		
RjY	trụi		
zci	ùa		
lqF	lồi		
tdE	tuất		
vtF	vồng		
hbF	hoè		
vms	vút		
bcr	bả		
TBC	thoạt		
lor	lẻn		
lSs	lác		
zos	én		
zzS	óng		
vEs	vế		
sDx	sẫm		
Tu1	thía		
t61	tấc		
mzJ	mọng		
Rj0	tram		
bWr	bảnh		
tE2	tề		
dTz	đay		
dqs	đát		
NTs	ngáy		
svs	sú		
mpz	mao		
TvE	thúng		
Chf	chồn		
vdF	viền		
vPj	vẹt		
lzX	lõng		
xx7	xới		
gDs	gấm		
Cds	chớ		
tz6	tong		
Dqs	dát		
ti2	tì		
lCi	luồn		
kJf	kèo		
xs6	xoan		
mqe	mướp		
m4Z	mo		
czs	cốm		
txo	tỳ		
Kha	khuân		
l8Z	loang		
xh6	xiêu		
x41	xắt		
Kex	khẽ		
fo2	phèn		
NrZ	ngoai		
Tk6	thiu		
R01	trắm		
xd6	xiên		
vyS	vót		
ref	rè		
KmR	khỉnh		
CBz	chây		
rmj	rụt		
vjf	vàm		
fa1	phết		
yjr	nhảm		
jDx	giẫm		
fdC	phiện		
xL6	xoăn		
nys	nấp		
czJ	cọng		
DjS	diết		
q74	quẫn		
KgZ	khiêng		
ckf	càn		
hyS	hót		
zir	ỉ		
nNj	nực		
tb0	tươm		
gks	gán		
czy	cựa		
xJ2	xèo		
yVs	nhếch		
ycr	nhả		
fp2	phào		
Kdf	khờ		
rDS	rít		
NSs	ngác		
nGf	nài		
Cse	chuốt		
Tm5	thụt		
cra	cuông		
rzz	rôm		
CTf	chày		
sjf	sàm		
ypx	nhão		
tr7	toái		
zka	um		
p06	pô		
nxa	ny		
m0X	mỗ		
dpF	đờm		
jvx	giũ		
bdr	bở		
lDs	lấm		
CKa	chun		
lci	lùa		
t55	tậu		
Kts	kháu		
m5f	mầu		
d7f	đần		
Kvi	khùng		
cxZ	cơi		
h4a	hươu		
snJ	sọc		
z0x	ẵm		
rmu	ruổi		
hGa	huê		
T48	thò		
lCF	loà		
sra	suông		
pk0	pan		
yCF	nhoà		
dts	đáu		
bof	bèn		
ylS	nhói		
r0z	răm		
zrR	oải		
NDr	ngẩm		
mNS	móp		
d5r	đẩu		
Rz8	tròng		
CVj	chệch		
CSj	chạc		
srs	sến		
qK1	quáng		
nGr	nải		
rHf	rèm		
c9j	cật		
zUi	ừ		
f20	phăng		
j1X	giỡn		
Cvi	chùng		
mcr	mả		
l0S	lố		
bUz	bêu		
vir	vỉ		
lTj	lạy		
KbS	khoé		
yUi	nhừ		
cRw	cữu		
hve	húng		
CCi	chuồn		
l4j	lặt		
WdS	nghiến		
RbY	truỵ		
lKZ	lin		
tjC	tiệt		
tP1	tét		
qx7	quới		
jls	giếm		
Ddz	dơ		
DmX	dĩnh		
fK8	phìn		
y3J	nhợt		
lra	luông		
zKa	un		
WEz	nghê		
yKe	nhún		
bRS	bốt		
mKx	mãng		
NtZ	ngông		
llJ	lọi		
Dmw	duỗi		
Nsr	ngưởng		
Kjz	kham		
hbZ	hoe		
Dux	dĩa		
srS	soái		
gCS	goá		
baj	bệt		
TW3	thảnh		
ztR	ổng		
sze	sứa		
tS6	ton		
K4F	khò		
hJr	hẻo		
d0f	đằm		
Ty7	thót		
mvs	mú		
rBr	rẩy		
vkS	víu		
xq7	xối		
tb7	toé		
rze	rứa		
NGr	ngải		
DQf	dìm		
rhZ	riêu		
Tx6	thơi		
Nds	ngớ		
kxa	ky		
vTj	vạy		
hcs	há		
tu1	tía		
fjA	phui		
lGf	lài		
mMS	moóc		
Tt0	thau		
nas	nết		
ddf	đờ		
l8z	lâng		
xP6	xoong		
tCA	tuôn		
DDs	dấm		
hQz	him		
svr	sủ		
rkz	ran		
n3S	nớt		
tN7	tóp		
gWf	gành		
bss	bướng		
lxj	lặc		
cja	cui		
bYf	bềnh		
mjS	miết		
lJx	lẽo		
nts	náu		
gvf	gù		
cKs	cáng		
bWz	banh		
rcr	rả		
qa5	quệt		
Npj	ngạo		
C0f	chằm		
qE5	quệ		
hvs	hú		
CNj	chực		
hkZ	hiu		
rez	re		
KdZ	khiên		
nnJ	nọc		
bhz	bôn		
bas	bết		
rvs	rú		
bPs	bét		
mBr	mẩy		
lBS	loát		
Cux	chĩa		
ycs	nhá		
lgS	liếng		
sys	sấp		
rmZ	rinh		
hUS	hoắc		
z4s	ắt		
vBr	vẩy		
K9s	khất		
n8s	nấng		
nGs	nái		
yDr	nhẩm		
lKr	lảng		
sKZ	sin		
cUw	cữ		
rgy	rục		
ruf	rìa		
y2z	nhăng		
lcS	liếc		
Drf	dền		
nke	núm		
kJr	kẻo		
xjE	xúi		
mqj	mạt		
cRa	cưu		
KMu	khuỷu		
bje	búi		
hCs	hích		
bvz	bu		
CvS	chíp		
yfs	nháp		
kmR	kỉnh		
dUr	đểu		
CzZ	chong		
CDJ	chịt		
v1f	vằn		
sDs	sấm		
yhr	nhổn		
yoz	nhen		
lUi	lừ		
ymR	nhỉnh		
CkZ	chiu		
xn7	xóc		
rcu	rủa		
nzj	nộm		
fR7	phốt		
Nqs	ngát		
hFs	héc		
dWz	đanh		
muz	mia		
v0F	vồ		
DRS	dốt		
dXf	đềm		
sBr	sẩy		
lvy	lụng		
ner	nẻ		
gWz	ganh		
CDf	chầm		
npZ	nơm		
myJ	mọt		
zvj	ụ		
rgF	riềng		
nmJ	nịnh		
yJx	nhẽo		
DqZ	dôi		
Czi	chừa		
tko	tùm		
NnS	ngóc		
mKe	mún		
x49	xỏ		
vqs	vát		
v7r	vẩn		
T25	thặng		
hjs	hám		
gGf	gài		
llZ	loi		
Csr	chưởng		
yGj	nhại		
mmy	muội		
rcj	rạ		
hds	hớ		
xJ3	xẻo		
nlF	nòi		
lhu	luẩn		
lkS	líu		
xxA	xy		
mKs	máng		
tB1	tấy		
yWr	nhảnh		
g0R	gổ		
cjy	cụi		
z2s	ắng		
RE0	trê		
rpS	rớm		
hzS	hóng		
zvs	ú		
R49	trỏ		
nMs	nép		
ljy	lụi		
cji	cùi		
rTe	rứt		
ph0	pôn		
dur	đỉa		
z0S	ố		
d7j	đận		
C8J	choạng		
Nhs	ngốn		
drS	đoái		
Dlj	diệm		
mrf	mền		
h3J	hợt		
sgZ	siêng		
tW1	tánh		
yDs	nhấm		
d4J	đọ		
rzy	rựa		
GJj	ghẹo		
dYz	đênh		
sTe	sứt		
nDS	nít		
gBx	gẫy		
cqX	cỗi		
bkJ	bịu		
l9Z	loanh		
mWs	mánh		
lmR	lỉnh		
KUa	khư		
ras	rết		
DEs	dế		
x50	xâu		
nze	nứa		
yex	nhẽ		
DcJ	diệc		
dSs	đác		
c3J	cợt		
yQs	nhím		
trC	toại		
b4j	bặt		
clR	cỏi		
xkE	xúm		
smS	sính		
mlS	mói		
dKi	đùn		
Rv0	tru		
dTf	đày		
xJE	xuýt		
TN7	thóp		
vJz	veo		
Dke	dúm		
c0j	cặm		
lxi	lỳ		
jer	giẻ		
Ti3	thỉ		
rCj	rịch		
fK6	phin		
mUs	mếu		
lUy	lự		
T07	thố		
s0z	săm		
Kjr	khảm		
pd0	pơ		
Ger	ghẻ		
hir	hỉ		
C2J	chợp		
TT3	thảy		
qx5	quặc		
nge	núc		
vSj	vạc		
TjA	thui		
TX7	thoắt		
NtX	ngỗng		
n2S	nớp		
m1f	mằn		
TlU	thuyển		
rlJ	rọi		
Rk8	trìu		
T74	thẫn		
g2j	gặng		
K0z	khăm		
jWz	gianh		
gri	guồng		
bls	biếm		
yge	nhúc		
K7s	khấn		
h7s	hấn		
To5	thẹn		
q82	quầng		
lvf	lù		
byj	bập		
zxs	ắc		
l8J	loạng		
Tp2	thào		
N4F	ngò		
th8	tiều		
fQ6	phom		
mxy	mỵ		
Cka	chum		
gms	gút		
xJ1	xéo		
zze	ứa		
tDY	tuộc		
RS5	trạc		
fKo	phùn		
fK2	phàng		
rne	rúp		
NlZ	ngoi		
Cer	chẻ		
yyJ	nhọt		
zmZ	inh		
his	hí		
jhX	giễu		
rSj	rạc		
mCj	mịch		
las	lết		
c0F	cồ		
nTs	náy		
ztz	au		
dbj	đượm		
rBf	rầy		
fj2	phàm		
hnr	hửng		
N5f	ngầu		
nMj	nẹp		
fv4	phũ		
hvf	hù		
q15	quặn		
nks	nán		
rTJ	rộp		
zdj	ợ		
hnx	hững		
tW2	tành		
m7z	mân		
xy5	xập		
zvf	ù		
Rq8	trồi		
Ru5	trịa		
NKi	ngùn		
kuf	kìa		
xd9	xiển		
hrz	hên		
sDj	sậm		
mvj	mụ		
g0j	gặm		
Dcr	dả		
Nmj	ngụt		
mja	mui		
btS	bống		
DBf	dầy		
Cbf	chườm		
sxS	sới		
N8r	ngẩng		
zTs	áy		
dmX	đĩnh		
lju	lủi		
zoz	en		
jDy	giuộc		
rdj	rợ		
lej	lẹ		
hej	hẹ		
gfs	gáp		
fjC	phiệt		
NWe	ngước		
CQF	chòm		
pv2	pù		
kmF	kình		
Kkf	khàn		
ngy	nục		
m0S	mố		
RRo	trừu		
mur	mỉa		
gcr	gả		
cNJ	cọp		
N7s	ngấn		
nTx	nãy		
hKs	háng		
ty7	tót		
cfJ	cộc		
C1x	chẵn		
bZZ	beng		
vKJ	vịn		
fbA	phuy		
cCi	cuồn		
tf1	táp		
yTe	nhứt		
mhX	miễu		
l4s	lắt		
KHz	khem		
cjj	cạm		
hKi	hùn		
l1f	lằn		
CKi	chùn		
boj	bẹn		
xnY	xụp		
mEf	mề		
nca	nua		
hgy	hục		
dJx	đẽo		
Th3	thổn		
hNj	hực		
nra	nuông		
nvz	nu		
smF	sình		
yGe	nhuế		
xH1	xém		
CJz	cheo		
vgZ	viêng		
DhZ	diêu		
hoZ	hoen		
bej	bẹ		
NBs	ngấy		
mes	mé		
xfC	xộc		
rpy	rượi		
hnf	hừng		
xGU	xuể		
Tm8	thình		
g0F	gồ		
xZ9	xẻng		
cKe	cún		
Rj1	trám		
TtE	thướt		
zrS	oái		
vWs	vánh		
tv7	típ		
sxa	sy		
rpa	rươi		
n4e	nướu		
m1Z	mơn		
mQS	móm		
CGx	chãi		
t0C	tộ		
Td1	thớ		
ykj	nhạn		
NGz	ngai		
C5s	chấu		
hif	hì		
r2J	rợp		
yyS	nhót		
kez	ke		
CqF	chồi		
vMJ	voọc		
zru	uổng		
fl1	phiếm		
fJ2	phèo		
drF	đoài		
gGx	gãi		
zGe	uế		
KDs	khấm		
hfJ	hộc		
x46	xo		
mTr	mảy		
g6s	gấc		
zxi	ỳ		
llF	lòi		
xC8	xoà		
t31	tắp		
vtZ	vông		
Rz0	trôm		
nKZ	nin		
hEz	hê		
bSF	bòn		
y1x	nhẵn		
Czu	chửa		
dWe	đước		
Kja	khui		
CxS	chới		
vJf	vèo		
Tk9	thỉu		
te0	te		
srz	sên		
yQF	nhòm		
duf	đìa		
Djz	dam		
fC1	phích		
ddz	đơ		
bdF	biền		
bex	bẽ		
z4S	ó		
hpj	hạo		
CpS	chớm		
vSS	vón		
rlS	rói		
dDe	đuốc		
htz	hau		
D4S	dó		
TjU	thủi		
y2f	nhằng		
zgj	ạch		
bmj	bụt		
tRU	tửu		
Dcf	dà		
zhu	uẩn		
t57	toác		
qVY	quỵt		
fd2	phờ		
bzJ	bọng		
zGu	uể		
rTs	ráy		
dne	đúp		
Dje	dúi		
DkS	díu		
vvf	vù		
Kef	khè		
CnS	chóc		
bJz	beo		
tsE	tuốt		
hci	hùa		
Nky	ngụm		
TT2	thày		
lny	lụp		
CmF	chình		
srF	soài		
rrz	rên		
bvJ	bịp		
bPZ	boong		
rkF	rìu		
ykr	nhản		
CNS	chóp		
cBf	cầy		
ypj	nhạo		
KlZ	khoi		
jcw	giũa		
tkB	tĩu		
ytf	nhàu		
Wlx	nghiễm		
nYs	nếnh		
nvi	nùng		
myS	mót		
CRJ	chột		
v1s	vắn		
mQR	mỏm		
bca	bua		
zHs	ém		
rpe	rưới		
bKs	báng		
xR7	xốt		
rpR	rởm		
nbf	nườm		
ngF	niềng		
WDJ	nghịt		
rpr	rảo		
lxy	lỵ		
bkF	bìu		
vUi	vừ		
RhA	truân		
qB3	quẩy		
nqy	nượp		
DPj	dẹt		
s2s	sắng		
r0X	rỗ		
r7f	rần		
v8f	vầng		
lEr	lể		
gdf	gờ		
dra	đuông		
Dys	dấp		
tJE	tuýt		
TH0	them		
TD4	thẫm		
qJ5	quẹo		
TD7	thít		
l0R	lổ		
z3u	yểu		
l4S	ló		
lkx	lãn		
KrR	khoải		
l8S	loáng		
kDJ	kịt		
bpF	bờm		
xB3	xẩy		
xM5	xẹp		
Kyj	khập		
q12	quằn		
m7f	mần		
lCS	loá		
ylZ	nhoi		
DGS	diếp		
t10	tăn		
kdR	kiển		
r2j	rặng		
q2Y	quyệt		
sjs	sám		
scj	sạ		
j0j	giặm		
b2x	bẵng		
sju	sủi		
mtS	mống		
CUu	chử		
t52	tầu		
t12	tằn		
qW1	quánh		
ytJ	nhộng		
nEz	nê		
dsR	đoản		
z2z	ăng		
tU1	tếu		
mmi	muồi		
vGs	vái		
Rq1	trát		
b5s	bấu		
lxZ	lơi		
l2x	lẵng		
hgs	hách		
ydz	nhơ		
lls	liếm		
t96	toanh		
yhs	nhốn		
NCZ	ngoa		
rlF	ròi		
bcS	biếc		
zce	úa		
tpU	tưởi		
x47	xó		
znr	ửng		
lpJ	lợm		
lYf	lềnh		
tE3	tể		
Npa	ngươi		
z0u	yểm		
rif	rì		
nDf	nầm		
gDx	gẫm		
cpr	cảo		
syJ	sọt		
yjs	nhám		
n2f	nằng		
gps	gáo		
Csf	chường		
z1S	ớn		
yKx	nhãng		
lvu	lủng		
tnE	túp		
nsy	nuột		
xf7	xốc		
TY0	thênh		
KgX	khiễng		
dls	điếm		
d2x	đẵng		
Cha	chuân		
bKa	bun		
hja	hui		
hlS	hói		
CTJ	chộp		
Cdz	chơ		
p46	po		
lbF	loè		
hca	hua		
gtf	gàu		
y5e	nhuốm		
yrF	nhoài		
K9e	khuếch		
q41	quắt		
fK3	phảng		
lba	luy		
hne	húp		
cmy	cuội		
bDx	bẫm		
D9j	dật		
y1j	nhặn		
pp0	pao		
xK1	xáng		
KWe	khước		
dCJ	đoạ		
b0f	bằm		
TcU	thủa		
qG5	quại		
lmF	lình		
hGi	huề		
vsZ	voan		
WmZ	nghinh		
v4S	vó		
pT0	pay		
ybF	nhoè		
D2f	dằng		
bmX	bĩnh		
R51	trấu		
nnj	nựng		
Dtz	dau		
nef	nè		
vGj	vại		
zds	ớ		
nhZ	niêu		
ldj	lợ		
lUz	lêu		
rQz	rim		
rjz	ram		
zLF	oằn		
lWZ	loăng		
Dkx	dãn		
tp9	tởm		
nWz	nanh		
dpZ	đơm		
bve	búng		
hfj	hạp		
GHs	ghém		
Nfs	ngáp		
jTx	giãy		
lTs	láy		
nzf	nồm		
lkj	lạn		
yHz	nhem		
yGf	nhài		
Czf	chồm		
bvj	bụ		
xM1	xép		
zVZ	oăm		
gpF	gờm		
RE2	trề		
mps	máo		
C1F	chờn		
R12	trằn		
ljw	lũi		
llf	liềm		
lGr	lải		
KSj	khạc		
gfJ	gộc		
CyJ	chọt		
NzJ	ngọng		
Kca	khua		
xQ6	xom		
ruz	ria		
NQF	ngòm		
N9R	ngoảnh		
NUJ	ngoặc		
nPj	nẹt		
sKF	sìn		
CDe	chuốc		
t86	toang		
sca	sua		
Wus	nghía		
lDr	lẩm		
RC5	trịch		
q31	quắp		
Dty	dượt		
tt0	tau		
GEf	ghề		
svu	sủng		
Dca	dua		
tW5	tạnh		
sNj	sực		
bUy	bự		
tk7	tíu		
cQF	còm		
cgj	cạch		
mKa	mun		
tcU	tủa		
lTe	lứt		
kgF	kiềng		
gji	gùi		
sEf	sề		
fy5	phập		
mKi	mùn		
lCX	loã		
gDe	guốc		
fvE	phúng		
hju	hủi		
hxX	hỡi		
CSs	chác		
pi0	pi		
pc2	pà		
mQX	mõm		
yef	nhè		
mkw	mũm		
mQx	mĩm		
lPj	lẹt		
bQX	bõm		
tGE	tuế		
kes	ké		
joz	gien		
qW5	quạnh		
hSs	hác		
Tc7	thiếc		
rkZ	riu		
nza	nưa		
TK3	thảng		
nsX	noãn		
b8z	bâng		
ssS	soán		
nCj	nịch		
y4S	nhó		
T10	thăn		
nvw	nũng		
jcy	giụa		
mPZ	moong		
KUz	khêu		
kVs	kếch		
DlF	dòi		
yKw	nhũn		
vor	vẻn		
yUw	nhữ		
